elapsed time,timestamp,topic,value
1.247,1784035625.168000000,/ekf/latency_ms.data,0.096
1.433,1784035625.354000000,/ekf/latency_ms.data,0.11
1.655,1784035625.576000000,/ekf/latency_ms.data,0.142
1.7890000000000001,1784035625.710000000,/ekf/latency_ms.data,0.139
1.9780000000000002,1784035625.899000000,/ekf/latency_ms.data,0.128
2.122,1784035626.043000000,/ekf/latency_ms.data,0.185
2.303,1784035626.224000000,/ekf/latency_ms.data,0.114
2.583,1784035626.504000000,/ekf/latency_ms.data,0.137
2.676,1784035626.597000000,/ekf/latency_ms.data,0.124
2.8600000000000003,1784035626.781000000,/ekf/latency_ms.data,0.091
3.041,1784035626.962000000,/ekf/latency_ms.data,0.13
3.223,1784035627.144000000,/ekf/latency_ms.data,0.3
3.4050000000000002,1784035627.326000000,/ekf/latency_ms.data,0.169
3.577,1784035627.498000000,/ekf/latency_ms.data,0.306
3.767,1784035627.688000000,/ekf/latency_ms.data,0.114
3.952,1784035627.873000000,/ekf/latency_ms.data,0.384
4.129,1784035628.050000000,/ekf/latency_ms.data,0.168
4.317,1784035628.238000000,/ekf/latency_ms.data,0.171
4.487,1784035628.408000000,/ekf/latency_ms.data,0.3
4.676,1784035628.597000000,/ekf/latency_ms.data,0.165
4.863,1784035628.784000000,/ekf/latency_ms.data,0.379
5.035,1784035628.956000000,/ekf/latency_ms.data,0.201
5.214,1784035629.135000000,/ekf/latency_ms.data,0.225
5.395,1784035629.316000000,/ekf/latency_ms.data,0.352
5.582,1784035629.503000000,/ekf/latency_ms.data,0.176
5.768,1784035629.689000000,/ekf/latency_ms.data,0.347
5.942,1784035629.863000000,/ekf/latency_ms.data,0.211
6.124,1784035630.045000000,/ekf/latency_ms.data,0.468
6.311,1784035630.232000000,/ekf/latency_ms.data,0.216
6.489,1784035630.410000000,/ekf/latency_ms.data,0.256
6.67,1784035630.591000000,/ekf/latency_ms.data,0.448
6.875,1784035630.796000000,/ekf/latency_ms.data,0.52
