elapsed time,timestamp,topic,value
10.047,1784036475.148000000,/ekf/imu_latency_ms.data,0.153
10.047,1784036475.148000000,/ekf/imu_latency_ms.data,0.233
10.092,1784036475.193000000,/ekf/imu_latency_ms.data,0.476
10.092,1784036475.193000000,/ekf/imu_latency_ms.data,0.337
10.092,1784036475.193000000,/ekf/imu_latency_ms.data,0.156
10.125,1784036475.226000000,/ekf/imu_latency_ms.data,0.097
10.125,1784036475.226000000,/ekf/imu_latency_ms.data,0.219
10.125,1784036475.226000000,/ekf/imu_latency_ms.data,0.273
10.125,1784036475.226000000,/ekf/imu_latency_ms.data,0.341
10.125,1784036475.226000000,/ekf/imu_latency_ms.data,0.138
10.125,1784036475.226000000,/ekf/imu_latency_ms.data,0.159
10.136,1784036475.237000000,/ekf/imu_latency_ms.data,0.978
10.194,1784036475.295000000,/ekf/imu_latency_ms.data,0.13
10.194,1784036475.295000000,/ekf/imu_latency_ms.data,0.534
10.194,1784036475.295000000,/ekf/imu_latency_ms.data,0.264
10.207,1784036475.308000000,/ekf/imu_latency_ms.data,0.406
10.228,1784036475.329000000,/ekf/imu_latency_ms.data,0.535
10.228,1784036475.329000000,/ekf/imu_latency_ms.data,0.215
10.228,1784036475.329000000,/ekf/imu_latency_ms.data,0.23
10.228,1784036475.329000000,/ekf/imu_latency_ms.data,0.362
10.228,1784036475.329000000,/ekf/imu_latency_ms.data,0.453
10.238,1784036475.339000000,/ekf/imu_latency_ms.data,0.454
10.259,1784036475.360000000,/ekf/imu_latency_ms.data,0.367
10.259,1784036475.360000000,/ekf/imu_latency_ms.data,0.349
10.273,1784036475.374000000,/ekf/imu_latency_ms.data,0.213
10.273,1784036475.374000000,/ekf/imu_latency_ms.data,0.445
10.293,1784036475.394000000,/ekf/imu_latency_ms.data,0.298
10.293,1784036475.394000000,/ekf/imu_latency_ms.data,0.151
10.306,1784036475.407000000,/ekf/imu_latency_ms.data,0.401
10.324,1784036475.425000000,/ekf/imu_latency_ms.data,0.135
10.324,1784036475.425000000,/ekf/imu_latency_ms.data,0.287
10.338,1784036475.439000000,/ekf/imu_latency_ms.data,0.189
10.359,1784036475.460000000,/ekf/imu_latency_ms.data,0.224
10.359,1784036475.460000000,/ekf/imu_latency_ms.data,0.13
10.372,1784036475.473000000,/ekf/imu_latency_ms.data,0.132
10.372,1784036475.473000000,/ekf/imu_latency_ms.data,0.25
10.392,1784036475.493000000,/ekf/imu_latency_ms.data,0.144
10.392,1784036475.493000000,/ekf/imu_latency_ms.data,0.198
10.405,1784036475.506000000,/ekf/imu_latency_ms.data,0.45
10.432,1784036475.533000000,/ekf/imu_latency_ms.data,0.247
10.432,1784036475.533000000,/ekf/imu_latency_ms.data,0.445
10.445,1784036475.546000000,/ekf/imu_latency_ms.data,0.227
10.469,1784036475.570000000,/ekf/imu_latency_ms.data,0.342
10.469,1784036475.570000000,/ekf/imu_latency_ms.data,0.275
10.469,1784036475.570000000,/ekf/imu_latency_ms.data,0.206
10.481,1784036475.582000000,/ekf/imu_latency_ms.data,0.441
10.509,1784036475.610000000,/ekf/imu_latency_ms.data,0.457
10.509,1784036475.610000000,/ekf/imu_latency_ms.data,0.12
10.525,1784036475.626000000,/ekf/imu_latency_ms.data,0.259
