elapsed time,timestamp,topic,value
0.9620000000000001,1783987568.627000000,/ekf/latency_ms.data,0.194
1.073,1783987568.738000000,/ekf/latency_ms.data,0.133
1.268,1783987568.933000000,/ekf/latency_ms.data,0.161
1.509,1783987569.174000000,/ekf/latency_ms.data,0.131
1.6720000000000002,1783987569.337000000,/ekf/latency_ms.data,0.13
1.844,1783987569.509000000,/ekf/latency_ms.data,0.162
2.02,1783987569.685000000,/ekf/latency_ms.data,0.15
2.194,1783987569.859000000,/ekf/latency_ms.data,0.119
2.526,1783987570.191000000,/ekf/latency_ms.data,0.137
2.625,1783987570.290000000,/ekf/latency_ms.data,0.194
2.776,1783987570.441000000,/ekf/latency_ms.data,0.151
2.966,1783987570.631000000,/ekf/latency_ms.data,0.15
3.173,1783987570.838000000,/ekf/latency_ms.data,0.603
3.359,1783987571.024000000,/ekf/latency_ms.data,0.178
3.56,1783987571.225000000,/ekf/latency_ms.data,0.208
3.738,1783987571.403000000,/ekf/latency_ms.data,0.23
3.94,1783987571.605000000,/ekf/latency_ms.data,0.185
4.129,1783987571.794000000,/ekf/latency_ms.data,0.139
4.327,1783987571.992000000,/ekf/latency_ms.data,0.304
4.52,1783987572.185000000,/ekf/latency_ms.data,0.371
4.7,1783987572.365000000,/ekf/latency_ms.data,0.151
4.913,1783987572.578000000,/ekf/latency_ms.data,0.232
5.104,1783987572.769000000,/ekf/latency_ms.data,0.468
5.298,1783987572.963000000,/ekf/latency_ms.data,0.715
5.485,1783987573.150000000,/ekf/latency_ms.data,0.256
5.687,1783987573.352000000,/ekf/latency_ms.data,0.214
5.868,1783987573.533000000,/ekf/latency_ms.data,0.281
6.092,1783987573.757000000,/ekf/latency_ms.data,0.203
6.263,1783987573.928000000,/ekf/latency_ms.data,0.229
6.447,1783987574.112000000,/ekf/latency_ms.data,0.58
6.644,1783987574.309000000,/ekf/latency_ms.data,0.214
6.847,1783987574.512000000,/ekf/latency_ms.data,0.287
7.029,1783987574.694000000,/ekf/latency_ms.data,0.237
7.209,1783987574.874000000,/ekf/latency_ms.data,0.182
7.405,1783987575.070000000,/ekf/latency_ms.data,0.216
7.615,1783987575.280000000,/ekf/latency_ms.data,0.226
7.817,1783987575.482000000,/ekf/latency_ms.data,0.17
8.004,1783987575.669000000,/ekf/latency_ms.data,0.219
